Savg_r,Smax_r,Navg_r,Nmax_r,Favg_r,Fmax_r,Ravg_r,Rmax_r,Tavg_r,Tmax_r
1.38,2.13,18.2,30.2,0.0348,0.11,0.0329,0.207,0.302,2.18
1.37,1.97,30.9,49.8,0.0328,0.11,0.0378,0.122,1.37,3.9
1.61,2.08,21.6,32.9,0.0487,0.139,0.0325,0.391,0.813,4.35
1.22,1.41,22.7,38.8,0.0157,0.119,0.0458,0.182,0.466,1.88
1.51,1.85,20.4,29.2,0.0162,0.0956,0.0294,0.0907,0.463,2.96
1.37,1.97,30.9,49.8,0.0328,0.11,0.0378,0.122,1.37,3.9
1.24,1.5,30.2,49.7,0.0219,0.226,0.0399,0.0959,0.337,1.77
1.84,2.6,11.7,16.4,0.00841,0.0967,0.0242,0.0506,0.197,0.749
1.35,2.08,26.2,37.0,0.012,0.13,0.036,0.1,0.529,2.19
1.59,1.88,28.2,38.3,0.0144,0.125,0.0393,0.0749,0.331,1.9
1.25,1.46,33.8,52.3,0.024,0.171,0.0479,0.0991,0.352,3.17
1.67,1.99,24.8,35.9,0.0156,0.136,0.0355,0.0753,0.0688,0.816
1.37,1.97,30.9,49.8,0.0328,0.11,0.0378,0.122,1.37,3.9
1.32,1.68,30.8,59.9,0.0139,0.138,0.0418,0.0827,0.48,2.84
1.29,1.61,23.6,34.1,0.011,0.141,0.037,0.0889,0.107,1.14
1.72,2.62,23.4,37.1,0.0264,0.106,0.0314,0.0763,0.742,2.21
1.24,1.65,26.9,42.9,0.0399,0.178,0.0433,0.0953,0.626,3.82
1.23,1.47,23.1,42.9,0.0187,0.158,0.0382,0.0853,0.117,1.17
1.52,2.0,27.5,45.3,0.024,0.124,0.0397,0.0784,0.048,0.807
1.26,1.7,23.0,32.7,0.0113,0.111,0.0372,0.09,0.434,2.14
1.2,1.65,23.8,41.7,0.0409,0.113,0.0421,0.12,0.656,3.88
1.37,1.97,30.9,49.8,0.0328,0.11,0.0378,0.122,1.37,3.9
1.23,1.74,15.0,25.8,0.0226,0.108,0.0309,0.0735,0.21,1.55
1.37,1.97,30.9,49.8,0.0328,0.11,0.0378,0.122,1.37,3.9
1.81,2.32,27.3,47.7,0.164,0.495,0.0305,0.0664,0.519,2.02
1.13,1.47,18.8,28.7,0.0315,0.119,0.0345,0.115,0.346,2.28
1.93,2.39,34.1,51.9,0.0186,0.157,0.0355,0.11,0.0797,0.791
1.65,1.83,22.4,34.0,0.0266,0.131,0.0306,0.0976,0.45,2.21
1.24,1.66,21.9,32.6,0.0836,0.122,0.0379,0.111,0.369,1.43
1.49,1.84,20.8,33.4,0.0301,0.13,0.0363,0.0987,0.521,2.35
1.35,1.66,32.2,44.8,0.0195,0.148,0.0403,0.0787,0.376,2.61
1.08,1.44,38.4,63.3,0.0258,0.193,0.0868,0.485,0.504,8.03
1.54,1.9,28.0,64.0,0.0181,0.146,0.0352,0.128,0.167,1.36
2.02,2.23,20.2,28.1,0.00907,0.0981,0.0261,0.0628,0.0645,0.66
1.75,1.9,22.5,29.7,0.013,0.127,0.0313,0.0581,0.0898,0.966
1.27,1.7,16.2,38.2,0.0268,0.147,0.0317,0.0862,0.195,1.5
1.43,2.33,28.3,48.8,0.0311,0.131,0.0372,0.0931,0.546,2.22
1.26,1.46,36.8,47.5,0.0167,0.142,0.0417,0.0903,0.68,4.19
1.41,1.98,27.8,36.6,0.0201,0.151,0.0378,0.0816,0.205,1.6
1.29,1.65,16.1,20.5,0.0182,0.118,0.0316,0.067,0.107,0.764
2.03,2.7,21.5,35.0,0.0259,0.146,0.0284,0.085,0.144,1.26
1.85,2.2,24.0,37.7,0.0203,0.101,0.0299,0.0716,0.135,1.59
1.49,1.62,40.1,46.1,0.0155,0.162,0.042,0.0907,0.201,1.8
1.24,1.48,20.8,27.7,0.00951,0.105,0.0347,0.069,0.171,1.82
1.23,1.64,23.3,32.7,0.0131,0.124,0.0379,0.0692,0.284,2.52
1.37,1.97,30.9,49.8,0.0328,0.11,0.0378,0.122,1.37,3.9
2.01,2.73,20.0,48.0,0.0715,0.304,0.0305,0.11,0.261,2.98
1.66,2.17,19.0,28.4,0.027,0.115,0.0364,0.0908,0.12,1.06
1.37,1.97,30.9,49.8,0.0328,0.11,0.0378,0.122,1.37,3.9
1.87,2.19,34.9,43.1,0.0187,0.122,0.0328,0.0725,0.389,2.14
1.18,1.7,13.4,23.1,0.023,0.153,0.0288,0.0648,0.171,1.76
1.58,2.05,18.5,36.5,0.0187,0.102,0.0395,0.225,0.3,1.92
1.64,2.13,13.8,22.3,0.0423,0.121,0.0262,0.0746,0.212,1.78
1.3,1.44,15.4,20.7,0.00914,0.121,0.0299,0.0623,0.0625,0.439
1.17,1.79,20.5,24.4,0.0126,0.138,0.0379,0.0783,0.203,1.47
1.66,2.09,18.4,24.3,0.0109,0.115,0.0268,0.0695,0.0522,0.954
1.38,1.92,23.8,60.4,0.0195,0.117,0.0394,0.126,0.654,2.54
1.25,1.49,14.5,21.2,0.0165,0.122,0.0286,0.0803,0.525,2.1
1.62,2.25,23.9,52.6,0.014,0.169,0.0479,0.298,0.321,1.85
1.14,1.37,34.9,57.3,0.0197,0.164,0.0427,0.0903,0.968,5.74
1.81,2.32,18.5,28.4,0.026,0.14,0.029,0.0889,0.187,1.25
1.57,1.99,18.2,39.4,0.0235,0.122,0.0279,0.0728,0.198,1.32
1.1,1.69,6.57,15.0,0.0145,0.0791,0.0266,0.0691,0.137,1.55
1.24,1.55,21.5,35.1,0.0188,0.0891,0.0408,0.0992,0.248,1.79
1.24,1.55,24.0,34.4,0.0125,0.133,0.038,0.0997,0.419,4.7
1.69,2.16,20.6,31.5,0.0127,0.0847,0.0333,0.104,0.261,1.89
1.72,2.39,21.5,29.1,0.013,0.115,0.0283,0.0846,0.26,1.92
1.89,2.36,8.57,11.3,0.0126,0.0778,0.0143,0.0298,0.0343,0.704
1.62,1.83,12.9,20.9,0.00889,0.0854,0.0279,0.0931,0.0954,0.667
1.5,1.72,24.1,31.7,0.01,0.125,0.0344,0.0663,0.146,0.767
1.59,2.02,16.5,21.1,0.0164,0.0778,0.0241,0.054,0.169,1.4
1.36,1.87,28.9,44.0,0.0344,0.147,0.039,0.0802,0.541,2.8
1.37,1.97,30.9,49.8,0.0328,0.11,0.0378,0.122,1.37,3.9
1.26,1.36,27.2,32.5,0.0189,0.132,0.0391,0.0798,0.254,2.04
1.77,1.96,36.3,46.1,0.0119,0.153,0.0342,0.0776,0.0441,0.913
1.26,1.69,10.9,19.2,0.08,0.148,0.0267,0.0532,0.29,1.41
2.05,2.73,26.7,38.6,0.0511,0.182,0.0284,0.0709,0.909,4.22
1.37,1.97,30.9,49.8,0.0328,0.11,0.0378,0.122,1.37,3.9
1.4,1.78,21.9,29.8,0.015,0.122,0.0338,0.0658,0.139,1.31
1.3,1.59,21.0,28.6,0.0131,0.116,0.0362,0.079,0.21,1.43
1.41,1.89,29.4,43.2,0.0119,0.127,0.0371,0.0719,0.0858,0.852
1.4,1.7,25.7,46.2,0.0194,0.156,0.0405,0.099,0.188,2.31
1.37,1.77,32.2,60.7,0.0184,0.185,0.0481,0.186,0.188,1.52
1.14,1.48,22.1,32.3,0.0675,0.155,0.0426,0.117,0.817,2.94
1.03,1.63,11.7,48.5,0.0135,0.0803,0.0396,0.179,0.444,3.22
1.62,1.83,16.1,26.8,0.0219,0.109,0.0267,0.0571,0.147,1.49
1.37,1.97,30.9,49.8,0.0328,0.11,0.0378,0.122,1.37,3.9
1.72,2.15,9.74,16.1,0.025,0.115,0.0178,0.037,0.237,2.03
1.19,1.57,22.1,37.3,0.0454,0.16,0.0403,0.127,0.734,3.11
1.89,2.13,23.3,31.8,0.0106,0.101,0.0304,0.06,0.0827,0.73
1.78,2.05,38.5,52.9,0.0232,0.117,0.0393,0.0822,0.369,2.94
1.64,1.75,18.7,25.6,0.0092,0.113,0.0274,0.0653,0.0453,0.327
1.43,1.97,24.6,33.6,0.0127,0.137,0.0325,0.065,0.163,1.98
1.67,2.08,9.95,14.4,0.014,0.0742,0.0194,0.0441,0.137,0.985
1.29,1.5,31.7,46.6,0.0174,0.119,0.0416,0.102,0.44,3.29
1.37,1.97,30.9,49.8,0.0328,0.11,0.0378,0.122,1.37,3.9
1.17,1.66,7.21,13.4,0.0231,0.0799,0.0248,0.0929,0.249,1.12
1.69,2.22,19.3,32.1,0.021,0.131,0.0257,0.0913,0.394,3.07
1.31,1.68,29.5,56.0,0.0186,0.131,0.0403,0.0874,0.721,2.97
1.09,1.45,11.9,17.4,0.01,0.105,0.0337,0.0667,0.136,1.41
1.68,2.2,25.8,33.2,0.0127,0.135,0.0302,0.0601,0.147,1.96
1.19,1.98,15.9,24.1,0.0207,0.0787,0.0288,0.0839,0.538,1.83
1.26,1.54,30.1,45.6,0.0305,0.169,0.044,0.0957,0.657,4.12
1.61,2.01,30.0,52.1,0.0164,0.122,0.0334,0.0809,0.249,2.93
2.06,2.99,25.1,43.1,0.0465,0.134,0.0281,0.0667,0.558,2.37
1.37,1.88,25.3,37.2,0.0347,0.135,0.0369,0.0693,0.159,1.22
1.63,1.83,19.9,28.8,0.0132,0.129,0.0297,0.0826,0.241,1.12
1.34,1.59,27.9,41.2,0.0326,0.173,0.0413,0.0921,0.569,3.88
1.41,2.22,19.6,32.7,0.029,0.124,0.0285,0.0731,0.404,1.35
1.32,1.6,25.4,32.3,0.033,0.158,0.0388,0.0898,0.251,1.77
1.19,1.48,26.8,40.6,0.034,0.187,0.0452,0.101,0.584,3.97
1.44,1.73,30.1,46.3,0.24,0.331,0.0413,0.083,0.269,1.58
1.99,2.33,30.8,50.9,0.0212,0.121,0.0414,0.114,0.104,0.861
1.37,1.97,30.9,49.8,0.0328,0.11,0.0378,0.122,1.37,3.9
1.42,1.93,15.2,24.0,0.0264,0.0962,0.0272,0.064,0.393,2.04
1.29,1.66,20.4,29.2,0.0233,0.121,0.0346,0.0754,0.158,1.89
1.6,2.13,24.0,33.2,0.0119,0.129,0.0313,0.0648,0.243,2.37
1.33,1.6,35.2,53.0,0.0671,0.159,0.0671,0.235,0.311,2.7
1.43,2.36,22.5,34.4,0.0171,0.126,0.0372,0.144,0.248,2.34
1.65,2.04,18.5,49.3,0.0117,0.0849,0.0346,0.261,0.449,3.05
1.29,1.71,22.5,29.8,0.0133,0.126,0.0401,0.139,0.266,1.23
1.31,1.89,25.1,36.7,0.0188,0.12,0.0382,0.1,0.424,2.09
1.39,1.6,25.6,50.9,0.285,0.36,0.0495,0.197,0.331,1.88
1.31,1.61,16.5,27.0,0.0902,0.134,0.0374,0.0986,0.207,1.4
1.06,1.31,34.1,58.4,0.0457,0.149,0.0598,0.217,0.502,4.69
1.12,1.31,24.4,30.7,0.0212,0.139,0.0454,0.104,0.192,1.74
1.55,1.73,19.6,25.4,0.0177,0.117,0.0291,0.0653,0.24,1.87
1.28,1.61,22.8,35.2,0.0215,0.167,0.0384,0.102,0.508,3.04
1.24,1.94,19.4,46.2,0.032,0.127,0.0344,0.1,0.963,6.52
1.34,1.82,25.4,50.5,0.0716,0.176,0.0623,0.135,0.618,2.87
1.45,1.96,38.6,74.3,0.0354,0.234,0.0488,0.122,0.0567,0.657
1.81,2.09,27.9,41.9,0.0161,0.126,0.0316,0.104,0.197,2.02
1.44,1.89,18.3,34.4,0.0218,0.115,0.0296,0.0597,0.297,1.85
1.18,1.6,38.9,73.3,0.0362,0.192,0.0582,0.291,0.274,1.69
1.42,1.81,21.6,40.8,0.0187,0.122,0.0432,0.149,0.284,2.15
1.37,1.59,29.1,39.4,0.0136,0.125,0.0645,0.378,0.579,2.83
1.5,1.76,23.3,32.1,0.0114,0.125,0.0354,0.0853,0.0935,0.786
1.84,2.1,25.7,29.9,0.0121,0.136,0.0312,0.0661,0.165,1.28
1.28,1.9,27.7,37.6,0.0124,0.135,0.0459,0.16,0.341,2.19
1.35,1.73,23.9,33.2,0.011,0.124,0.0334,0.0667,0.38,1.39
1.82,2.04,22.6,35.3,0.0253,0.107,0.0289,0.0773,0.247,1.53
1.53,1.95,24.4,38.9,0.0151,0.131,0.0356,0.088,0.27,1.28
1.27,1.88,24.3,35.0,0.0252,0.186,0.0415,0.115,0.519,2.52
1.7,2.02,27.3,40.3,0.0203,0.124,0.0362,0.0903,0.127,1.75
1.25,1.67,23.8,34.4,0.0211,0.116,0.0383,0.101,0.26,2.27
1.68,2.77,28.2,47.8,0.0368,0.15,0.0368,0.107,0.64,2.99
1.23,1.67,20.6,29.2,0.0176,0.121,0.0397,0.139,0.365,1.41
1.28,1.85,21.3,36.3,0.0298,0.142,0.0349,0.0826,0.21,1.58
1.3,1.51,32.9,45.9,0.0207,0.129,0.0939,0.179,0.693,3.3
1.23,1.39,34.3,52.1,0.0262,0.204,0.0493,0.095,0.382,3.42
1.32,1.47,28.8,38.6,0.0189,0.138,0.0427,0.0737,0.401,1.96
1.86,2.21,20.6,27.6,0.019,0.105,0.0276,0.0571,0.0309,0.278
1.37,1.97,30.9,49.8,0.0328,0.11,0.0378,0.122,1.37,3.9
1.57,1.95,18.2,30.4,0.0216,0.103,0.0293,0.0695,0.237,1.64
1.22,1.55,20.8,28.8,0.0349,0.13,0.0537,0.122,0.0603,0.407
1.52,1.71,26.6,36.9,0.0164,0.11,0.0321,0.0634,0.0844,1.06
1.32,1.64,23.9,36.4,0.02,0.165,0.0369,0.0996,0.484,2.97
1.5,1.78,27.2,38.1,0.0114,0.0815,0.0382,0.0976,0.392,2.47
1.63,2.42,28.0,42.5,0.0389,0.191,0.0405,0.102,0.66,4.06
1.52,1.71,20.4,26.9,0.0163,0.117,0.0298,0.0604,0.242,1.78
1.94,2.55,31.8,44.8,0.0161,0.136,0.0262,0.0679,0.208,1.78
1.39,1.65,27.2,37.5,0.0815,0.2,0.0395,0.0871,0.245,1.69
1.36,1.58,15.7,25.2,0.021,0.123,0.0366,0.128,0.0686,0.915
1.35,1.65,28.8,54.0,0.0354,0.164,0.0423,0.16,0.628,3.85
1.71,2.26,30.7,45.9,0.0332,0.131,0.0376,0.229,0.507,4.05
1.32,1.69,33.6,66.8,0.0173,0.141,0.0427,0.0908,0.798,3.73
1.4,1.56,28.2,32.9,0.0123,0.134,0.0414,0.107,0.0979,0.906
2.0,2.53,22.2,51.3,0.0117,0.0869,0.0325,0.258,0.308,2.9
1.24,1.66,25.0,42.6,0.0648,0.182,0.0431,0.116,0.669,3.88
1.05,1.74,21.7,40.6,0.0428,0.165,0.0483,0.104,0.0906,0.991
1.1,1.61,24.9,41.8,0.0251,0.124,0.0474,0.101,0.123,1.16
1.4,1.63,23.8,36.7,0.0114,0.0935,0.0402,0.0915,0.211,2.04
1.3,1.49,29.7,52.3,0.205,0.321,0.0497,0.158,0.158,1.01
1.28,1.99,20.4,32.2,0.0258,0.138,0.0357,0.0736,0.269,1.62
1.38,1.75,19.8,28.6,0.0179,0.119,0.0336,0.0888,0.11,1.67
1.19,1.75,19.5,41.5,0.127,0.275,0.0455,0.157,0.346,2.17
1.18,1.41,21.6,37.1,0.02,0.122,0.0421,0.0954,0.175,1.69
2.05,2.97,14.0,23.6,0.0375,0.117,0.0223,0.13,0.467,1.79
1.26,1.77,34.7,56.5,0.0326,0.18,0.0517,0.135,0.417,2.62
1.6,2.23,25.2,33.2,0.0116,0.133,0.0349,0.0762,0.412,2.02
1.26,1.7,23.0,32.7,0.0113,0.111,0.0372,0.09,0.434,2.14
1.48,1.7,37.3,51.1,0.0222,0.147,0.0409,0.0981,0.482,3.14
1.25,1.61,22.9,37.2,0.0204,0.173,0.0381,0.0986,0.513,2.93
1.15,1.4,17.2,21.6,0.0104,0.107,0.0377,0.0767,0.0594,0.786
1.27,1.69,27.8,35.5,0.0177,0.159,0.0444,0.158,0.905,2.6
1.15,1.82,21.0,62.9,0.0124,0.117,0.0309,0.0987,0.932,3.29
1.55,2.12,21.1,51.1,0.0214,0.109,0.0382,0.115,0.0461,0.434
1.53,2.05,17.5,28.0,0.0121,0.125,0.0303,0.0685,0.126,0.969
1.32,1.74,10.3,19.0,0.0453,0.0946,0.0231,0.08,0.362,2.08
1.32,2.12,31.6,42.4,0.0138,0.143,0.0399,0.0878,0.66,2.92
1.38,1.82,14.6,25.6,0.0188,0.119,0.0282,0.0807,0.337,2.49
1.28,1.58,20.8,34.0,0.0357,0.132,0.0372,0.0896,0.163,1.64
2.04,2.36,17.7,28.2,0.0228,0.108,0.0236,0.0628,0.14,1.45
1.25,1.54,17.8,27.7,0.051,0.127,0.0456,0.131,0.173,0.722
1.32,1.99,22.0,43.4,0.0246,0.111,0.0337,0.068,0.291,2.48
1.26,1.88,23.5,35.0,0.0214,0.186,0.0428,0.146,0.268,1.49
1.37,1.97,30.9,49.8,0.0328,0.11,0.0378,0.122,1.37,3.9
1.33,1.74,13.6,21.9,0.0244,0.103,0.0276,0.0521,0.159,1.52
1.34,1.61,23.1,50.2,0.0813,0.234,0.0378,0.126,0.501,3.38
1.23,1.53,27.8,43.8,0.0298,0.134,0.0439,0.115,0.5,3.59
1.37,1.97,30.9,49.8,0.0328,0.11,0.0378,0.122,1.37,3.9
1.93,2.17,24.9,33.9,0.0282,0.11,0.0315,0.0677,0.0671,0.739
1.22,1.49,26.7,34.7,0.012,0.13,0.0434,0.15,0.279,1.33
1.4,2.0,23.8,40.4,0.0396,0.182,0.0454,0.104,0.513,3.06
1.83,2.45,11.1,16.4,0.014,0.077,0.0208,0.0445,0.144,0.834
1.27,1.54,29.7,44.2,0.024,0.125,0.0709,0.143,0.656,3.51
1.27,1.61,22.2,37.0,0.0245,0.114,0.0371,0.0832,0.612,2.36
1.69,1.97,20.5,27.2,0.0244,0.122,0.039,0.0879,0.0761,0.602
1.58,2.05,13.9,25.7,0.0382,0.136,0.0266,0.083,0.197,1.16
1.16,1.54,24.4,39.6,0.0422,0.186,0.0438,0.103,0.697,4.12
1.39,1.73,11.7,18.6,0.163,0.259,0.0282,0.0616,0.158,0.889
1.62,1.82,30.8,38.2,0.0191,0.139,0.0372,0.0751,0.161,1.43
1.74,3.31,25.0,50.6,0.0684,0.186,0.041,0.353,1.1,4.35
1.31,1.52,22.7,34.3,0.0187,0.109,0.0359,0.0798,0.252,1.88
1.46,1.73,23.4,32.7,0.0127,0.127,0.0326,0.0703,0.476,2.91
1.2,1.67,8.08,15.2,0.0282,0.0778,0.0233,0.0452,0.302,1.77
1.88,2.46,14.8,23.6,0.0201,0.0882,0.0195,0.0513,0.172,1.11
1.6,1.87,25.7,38.2,0.0504,0.171,0.0541,0.135,0.87,4.14
1.47,1.77,22.9,41.0,0.0172,0.124,0.0358,0.132,0.247,2.11
1.27,1.56,17.4,20.6,0.00894,0.111,0.0319,0.0935,0.126,0.88
1.32,2.01,13.7,22.8,0.0574,0.236,0.0529,0.188,0.152,1.13
1.06,1.79,16.3,30.4,0.0169,0.129,0.0382,0.0973,0.39,1.51
1.61,1.82,30.2,42.9,0.0131,0.128,0.0335,0.0747,0.284,2.57
1.27,1.64,16.4,35.4,0.0358,0.14,0.0349,0.0826,0.262,1.43
1.67,1.86,18.6,23.4,0.0143,0.129,0.0257,0.0489,0.327,1.5
1.78,1.97,25.0,33.0,0.0101,0.128,0.0291,0.0573,0.0408,0.677
1.37,2.41,19.2,33.0,0.0707,0.164,0.0404,0.148,0.479,1.88
1.57,2.31,10.4,22.0,0.0152,0.0809,0.0274,0.124,0.179,1.37
1.56,1.73,19.3,26.7,0.0154,0.115,0.0318,0.0979,0.121,1.37
1.73,1.93,27.9,32.9,0.0108,0.138,0.0326,0.0637,0.0756,0.865
1.63,1.95,27.5,37.1,0.0153,0.137,0.0349,0.0737,0.077,1.19
1.44,1.69,25.7,35.4,0.0118,0.139,0.0349,0.0709,0.0663,0.813
1.39,1.86,28.2,42.3,0.0181,0.128,0.0416,0.109,0.416,2.63
1.35,1.91,15.2,20.4,0.0154,0.0922,0.0298,0.0695,0.159,1.1
1.53,2.08,25.3,39.1,0.0995,0.256,0.032,0.0873,0.277,2.19
1.17,1.42,32.9,53.5,0.0151,0.163,0.0433,0.0844,0.682,4.99
1.38,1.74,14.3,23.4,0.0116,0.104,0.0438,0.227,0.143,0.878
1.29,1.66,25.6,34.9,0.0173,0.141,0.0377,0.0731,0.25,2.22
1.16,1.59,18.3,24.7,0.0268,0.117,0.0339,0.0718,0.54,1.96
1.28,2.08,20.6,40.7,0.0673,0.191,0.0408,0.143,0.471,2.37
1.23,1.41,28.9,39.1,0.012,0.133,0.0652,0.321,0.259,1.85
1.67,2.08,10.1,14.5,0.0176,0.0734,0.019,0.0376,0.267,1.09
1.3,1.75,12.1,17.8,0.0105,0.0933,0.0261,0.0667,0.3,1.31
1.27,1.67,25.7,39.2,0.013,0.132,0.0377,0.0808,0.376,1.93
1.24,1.63,21.0,35.9,0.0204,0.133,0.0366,0.0703,0.13,1.16
1.6,1.88,28.3,37.6,0.0177,0.178,0.0363,0.0795,0.169,1.17
1.21,1.58,32.8,61.2,0.0332,0.204,0.0546,0.112,0.657,4.11
1.59,2.16,28.4,36.4,0.0136,0.132,0.0377,0.0822,0.237,1.43
1.51,2.15,18.8,28.6,0.0455,0.121,0.0352,0.0749,0.192,2.14
1.27,1.63,23.3,38.2,0.0231,0.133,0.0364,0.0814,0.597,2.23
1.45,1.88,32.1,53.8,0.0186,0.148,0.0422,0.105,0.277,1.72
1.61,2.32,29.1,60.0,0.0175,0.13,0.037,0.0854,0.221,1.17
