Savg_r,Smax_r,Navg_r,Nmax_r,Favg_r,Fmax_r,Ravg_r,Rmax_r,Tavg_r,Tmax_r
1.08,1.56,19.1,29.8,0.0988,0.168,0.0445,0.152,0.719,2.34
1.24,2.19,18.5,36.1,0.0714,0.179,0.04,0.163,0.581,2.12
1.37,1.97,30.9,49.8,0.0328,0.11,0.0378,0.122,1.37,3.9
1.14,1.39,29.4,41.6,0.0189,0.146,0.0462,0.108,0.437,2.23
1.51,1.85,20.4,29.2,0.0162,0.0956,0.0294,0.0907,0.463,2.96
1.41,1.87,23.5,31.2,0.0229,0.131,0.0371,0.0801,0.62,2.6
1.56,1.93,16.9,31.7,0.0206,0.131,0.0261,0.0621,0.327,1.84
1.09,1.54,13.7,25.1,0.0513,0.132,0.0376,0.0942,0.343,1.55
1.33,1.97,22.2,30.8,0.0654,0.129,0.0392,0.12,0.547,2.17
1.31,2.17,10.3,18.7,0.0623,0.199,0.0273,0.0698,0.205,1.48
1.24,1.73,16.3,20.3,0.0263,0.112,0.0314,0.0611,0.103,0.622
1.45,1.69,15.9,20.4,0.0172,0.117,0.0288,0.068,0.119,0.808
1.18,2.33,20.9,42.2,0.0907,0.234,0.0443,0.153,0.719,2.31
1.61,1.96,24.0,34.5,0.0394,0.125,0.0386,0.111,0.304,1.72
1.27,1.85,17.2,38.8,0.0302,0.118,0.0433,0.221,0.343,2.11
1.37,1.97,30.9,49.8,0.0328,0.11,0.0378,0.122,1.37,3.9
1.56,2.03,11.0,21.9,0.0168,0.0933,0.0244,0.185,0.085,0.981
1.4,1.93,15.7,24.5,0.0283,0.113,0.0279,0.0588,0.252,1.69
1.08,1.56,19.1,29.8,0.0988,0.168,0.0445,0.152,0.719,2.34
1.68,1.82,15.5,19.7,0.0131,0.11,0.0294,0.054,0.022,0.171
1.6,2.54,4.28,9.69,0.027,0.1,0.0129,0.0567,0.0944,1.16
1.11,1.54,9.0,19.2,0.0124,0.109,0.0268,0.0603,0.0702,0.559
1.37,1.97,30.9,49.8,0.0328,0.11,0.0378,0.122,1.37,3.9
1.37,1.97,30.9,49.8,0.0328,0.11,0.0378,0.122,1.37,3.9
1.2,1.41,22.0,33.1,0.0369,0.124,0.0422,0.12,0.455,1.79
1.37,1.97,30.9,49.8,0.0328,0.11,0.0378,0.122,1.37,3.9
1.29,1.59,8.46,12.3,0.0205,0.0827,0.0216,0.0568,0.346,1.4
1.79,1.97,27.0,33.5,0.0121,0.12,0.0308,0.0647,0.117,1.1
1.26,1.78,10.1,16.6,0.0169,0.0828,0.0228,0.0576,0.29,1.47
1.29,1.6,20.9,29.1,0.0165,0.148,0.0343,0.0711,0.171,1.33
1.2,1.55,16.6,25.6,0.0189,0.118,0.0365,0.115,0.168,1.58
1.29,1.57,20.3,27.5,0.0129,0.122,0.0374,0.0831,0.15,0.993
1.2,1.73,20.4,34.8,0.0407,0.142,0.0396,0.118,0.179,1.19
1.37,1.97,30.9,49.8,0.0328,0.11,0.0378,0.122,1.37,3.9
1.55,1.73,19.6,25.4,0.0177,0.117,0.0291,0.0653,0.24,1.87
1.37,1.97,30.9,49.8,0.0328,0.11,0.0378,0.122,1.37,3.9
1.86,2.18,9.9,14.2,0.0118,0.0849,0.0224,0.192,0.0267,0.512
1.34,1.8,20.9,30.7,0.0832,0.149,0.0427,0.124,0.618,2.11
1.08,1.56,19.1,29.8,0.0988,0.168,0.0445,0.152,0.719,2.34
1.45,1.8,27.0,45.3,0.0248,0.146,0.0417,0.116,0.234,1.71
1.37,1.97,30.9,49.8,0.0328,0.11,0.0378,0.122,1.37,3.9
1.25,2.01,19.1,39.2,0.0712,0.177,0.038,0.15,1.03,3.66
1.14,1.63,17.4,31.4,0.0739,0.193,0.0412,0.171,0.529,2.12
1.44,1.68,28.0,36.4,0.0328,0.155,0.0428,0.0999,0.346,1.68
1.6,2.54,4.28,9.69,0.027,0.1,0.0129,0.0567,0.0944,1.16
1.06,1.4,11.9,20.5,0.013,0.101,0.0327,0.0649,0.133,1.13
1.73,2.29,21.6,33.7,0.0487,0.161,0.034,0.122,0.385,1.77
1.5,2.05,27.6,45.1,0.0214,0.122,0.0343,0.0728,0.218,1.51
2.52,3.28,10.5,17.0,0.0312,0.17,0.065,0.129,0.247,0.914
1.37,1.97,30.9,49.8,0.0328,0.11,0.0378,0.122,1.37,3.9
1.08,1.56,19.1,29.8,0.0988,0.168,0.0445,0.152,0.719,2.34
1.37,1.97,30.9,49.8,0.0328,0.11,0.0378,0.122,1.37,3.9
1.37,1.97,30.9,49.8,0.0328,0.11,0.0378,0.122,1.37,3.9
1.36,2.18,9.68,16.7,0.0215,0.0839,0.0269,0.247,0.309,1.6
1.55,2.5,21.6,39.4,0.0195,0.0814,0.0316,0.0907,0.453,2.96
1.37,1.97,30.9,49.8,0.0328,0.11,0.0378,0.122,1.37,3.9
1.31,1.71,14.5,21.5,0.0327,0.108,0.0307,0.13,0.227,1.35
1.37,1.97,30.9,49.8,0.0328,0.11,0.0378,0.122,1.37,3.9
1.43,1.8,16.2,19.8,0.0242,0.11,0.0292,0.059,0.12,0.685
1.8,2.33,15.9,20.5,0.0227,0.0813,0.0228,0.0488,0.199,1.53
1.37,1.97,30.9,49.8,0.0328,0.11,0.0378,0.122,1.37,3.9
1.37,1.97,30.9,49.8,0.0328,0.11,0.0378,0.122,1.37,3.9
1.37,1.97,30.9,49.8,0.0328,0.11,0.0378,0.122,1.37,3.9
1.35,1.52,7.87,15.2,0.00975,0.0655,0.0215,0.0502,0.248,1.03
1.28,1.82,9.52,41.4,0.0538,0.241,0.0266,0.112,0.129,0.785
1.7,1.84,15.0,22.3,0.0154,0.0948,0.0247,0.0655,0.149,0.978
1.34,1.71,15.6,27.6,0.0634,0.198,0.0352,0.11,0.252,1.37
1.37,1.97,30.9,49.8,0.0328,0.11,0.0378,0.122,1.37,3.9
1.14,1.63,17.4,31.4,0.0739,0.193,0.0412,0.171,0.529,2.12
1.35,1.69,9.11,13.5,0.00713,0.072,0.0244,0.0605,0.0201,0.37
2.24,2.51,18.6,23.1,0.0282,0.0761,0.0163,0.0551,0.167,1.38
1.4,1.95,20.0,30.3,0.0363,0.133,0.0346,0.0861,0.173,1.73
1.36,1.79,18.4,32.2,0.017,0.0956,0.0267,0.0599,0.425,1.63
1.37,1.97,30.9,49.8,0.0328,0.11,0.0378,0.122,1.37,3.9
1.15,1.52,15.4,22.8,0.0197,0.0992,0.0287,0.0838,0.544,1.83
1.37,1.97,30.9,49.8,0.0328,0.11,0.0378,0.122,1.37,3.9
1.7,1.88,14.2,22.1,0.0177,0.0973,0.0237,0.0509,0.19,1.07
1.37,1.97,30.9,49.8,0.0328,0.11,0.0378,0.122,1.37,3.9
1.64,1.82,16.2,25.9,0.0135,0.0973,0.0287,0.108,0.146,0.959
1.47,1.72,26.9,50.9,0.0196,0.126,0.0389,0.141,0.521,2.95
1.79,2.33,15.7,20.5,0.0171,0.0799,0.0226,0.045,0.185,1.48
1.37,1.97,30.9,49.8,0.0328,0.11,0.0378,0.122,1.37,3.9
1.14,1.63,17.4,31.4,0.0739,0.193,0.0412,0.171,0.529,2.12
1.37,1.97,30.9,49.8,0.0328,0.11,0.0378,0.122,1.37,3.9
1.53,1.92,12.0,20.5,0.012,0.104,0.0211,0.0494,0.122,0.811
1.37,1.97,30.9,49.8,0.0328,0.11,0.0378,0.122,1.37,3.9
1.19,1.6,19.6,33.5,0.0299,0.0993,0.0362,0.0846,0.784,2.42
1.37,1.97,30.9,49.8,0.0328,0.11,0.0378,0.122,1.37,3.9
1.34,1.98,8.66,14.4,0.0299,0.112,0.022,0.0538,0.345,1.4
1.56,1.76,8.48,14.6,0.0101,0.0691,0.0202,0.0469,0.218,0.908
1.37,1.97,30.9,49.8,0.0328,0.11,0.0378,0.122,1.37,3.9
1.37,1.97,30.9,49.8,0.0328,0.11,0.0378,0.122,1.37,3.9
1.14,1.63,17.4,31.4,0.0739,0.193,0.0412,0.171,0.529,2.12
1.37,1.97,30.9,49.8,0.0328,0.11,0.0378,0.122,1.37,3.9
1.13,1.57,22.9,44.8,0.0309,0.158,0.044,0.236,0.232,1.06
1.29,1.98,16.6,27.1,0.0545,0.19,0.0318,0.0957,0.511,1.48
1.37,1.97,30.9,49.8,0.0328,0.11,0.0378,0.122,1.37,3.9
1.25,1.95,15.3,23.9,0.0349,0.121,0.0312,0.0782,0.153,0.921
1.59,1.89,22.8,34.7,0.0601,0.182,0.0262,0.0869,1.02,4.3
1.34,1.66,20.8,33.9,0.0745,0.192,0.0298,0.0873,1.19,4.47
1.37,1.97,30.9,49.8,0.0328,0.11,0.0378,0.122,1.37,3.9
1.19,1.81,18.1,31.4,0.0733,0.187,0.0404,0.169,0.565,2.1
1.37,1.97,30.9,49.8,0.0328,0.11,0.0378,0.122,1.37,3.9
1.16,1.59,17.3,28.9,0.0113,0.125,0.032,0.0608,0.338,2.14
1.36,1.96,12.0,24.3,0.0856,0.156,0.0278,0.0601,0.223,1.38
1.24,2.11,10.5,16.0,0.0119,0.0983,0.03,0.092,0.0839,0.689
1.31,1.66,14.8,41.9,0.0161,0.125,0.0302,0.109,0.0822,0.902
1.24,1.66,8.92,41.2,0.0207,0.171,0.026,0.112,0.111,0.737
1.71,2.08,17.4,28.9,0.0118,0.0997,0.0259,0.056,0.0782,0.641
1.82,2.42,11.4,20.5,0.0216,0.0868,0.0209,0.0624,0.147,1.4
1.37,1.97,30.9,49.8,0.0328,0.11,0.0378,0.122,1.37,3.9
1.37,1.97,30.9,49.8,0.0328,0.11,0.0378,0.122,1.37,3.9
1.31,1.7,18.1,25.8,0.0214,0.117,0.0317,0.0661,0.0821,0.68
1.27,1.6,17.9,29.8,0.0645,0.227,0.0386,0.499,0.996,4.57
1.37,1.76,21.9,42.4,0.0707,0.17,0.0317,0.108,1.18,4.43
1.28,1.6,19.3,33.4,0.206,0.422,0.0469,0.412,0.935,4.48
1.74,2.24,16.0,28.0,0.0178,0.0984,0.0248,0.0486,0.136,1.18
1.53,1.83,12.2,18.6,0.0209,0.0759,0.0234,0.0539,0.193,1.28
1.63,1.81,13.8,18.5,0.00751,0.093,0.0245,0.05,0.0265,0.367
1.31,1.53,13.1,16.5,0.0131,0.109,0.0276,0.0668,0.234,0.87
1.37,1.97,30.9,49.8,0.0328,0.11,0.0378,0.122,1.37,3.9
1.52,2.1,5.06,10.9,0.0231,0.0769,0.0159,0.113,0.0522,0.591
1.2,1.84,6.69,12.0,0.0216,0.0939,0.0214,0.0603,0.0689,0.403
1.35,1.59,7.18,13.7,0.0101,0.066,0.0192,0.0481,0.28,1.04
1.37,1.97,30.9,49.8,0.0328,0.11,0.0378,0.122,1.37,3.9
1.37,1.97,30.9,49.8,0.0328,0.11,0.0378,0.122,1.37,3.9
1.67,2.15,13.1,19.3,0.0205,0.123,0.0214,0.0753,0.3,1.1
1.2,1.57,20.5,31.8,0.0411,0.131,0.0389,0.133,0.385,1.94
1.29,2.07,16.6,28.6,0.0573,0.116,0.0336,0.0886,0.285,2.33
1.09,1.88,6.66,10.7,0.0155,0.0612,0.0332,0.0925,0.4,1.48
1.37,1.97,30.9,49.8,0.0328,0.11,0.0378,0.122,1.37,3.9
1.18,1.54,22.9,37.4,0.057,0.152,0.0412,0.142,0.538,2.27
1.37,1.97,30.9,49.8,0.0328,0.11,0.0378,0.122,1.37,3.9
1.37,1.97,30.9,49.8,0.0328,0.11,0.0378,0.122,1.37,3.9
1.29,1.55,12.1,16.7,0.011,0.103,0.0245,0.0524,0.153,1.03
1.91,2.24,14.8,20.2,0.0146,0.108,0.0264,0.062,0.284,1.8
1.21,1.35,10.8,13.1,0.00797,0.091,0.0249,0.0487,0.0751,0.489
1.2,1.58,10.9,16.6,0.00855,0.0946,0.0306,0.0699,0.151,1.43
1.12,1.52,14.8,21.5,0.0187,0.095,0.0313,0.0747,0.237,1.11
1.62,1.82,14.3,17.5,0.0114,0.104,0.0274,0.0624,0.0336,0.308
1.7,1.88,14.2,22.1,0.0177,0.0973,0.0237,0.0509,0.19,1.07
1.32,1.54,14.7,17.5,0.00827,0.111,0.0269,0.0539,0.0302,0.362
1.34,1.69,18.0,36.6,0.011,0.115,0.0314,0.0641,0.315,1.8
1.6,1.83,18.3,26.2,0.0104,0.113,0.0275,0.0692,0.0768,0.751
1.83,2.12,14.8,20.0,0.0104,0.105,0.0218,0.0501,0.257,1.87
1.26,1.75,10.9,18.2,0.0151,0.103,0.0223,0.124,0.398,2.08
1.53,1.86,9.02,12.8,0.00679,0.0811,0.0199,0.0414,0.0464,0.665
1.48,2.13,11.4,16.3,0.0107,0.0929,0.0276,0.0936,0.0623,0.559
1.46,3.92,17.8,41.5,0.0162,0.0788,0.0368,0.138,0.481,6.37
1.74,1.9,15.3,21.0,0.0145,0.0828,0.0254,0.0459,0.102,1.1
1.17,1.5,7.59,11.0,0.0157,0.0617,0.0247,0.0561,0.0977,0.818
1.55,2.78,25.3,48.4,0.0345,0.121,0.0335,0.181,0.342,5.06
1.37,1.87,16.1,20.9,0.015,0.178,0.027,0.0821,0.279,1.41
1.09,1.25,21.8,27.0,0.0167,0.164,0.0406,0.0923,0.0515,0.636
1.31,1.68,13.7,21.7,0.0196,0.101,0.0286,0.115,0.182,1.34
1.68,2.04,25.9,36.2,0.0217,0.113,0.0556,0.126,0.0769,0.656
1.35,2.47,10.3,18.5,0.0348,0.073,0.0255,0.0812,0.244,2.04
1.32,1.85,11.8,18.5,0.0278,0.124,0.0239,0.0518,0.119,1.05
1.13,1.75,16.5,27.4,0.0693,0.157,0.0348,0.2,0.359,2.46
1.37,1.97,30.9,49.8,0.0328,0.11,0.0378,0.122,1.37,3.9
1.11,1.59,19.2,32.9,0.0566,0.121,0.0412,0.124,0.42,2.03
1.55,1.73,19.6,25.4,0.0177,0.117,0.0291,0.0653,0.24,1.87
1.34,1.8,10.6,17.5,0.0316,0.0841,0.0243,0.0558,0.237,1.43
1.92,3.12,7.21,10.0,0.0081,0.067,0.015,0.0391,0.0603,0.522
1.56,1.82,22.8,35.3,0.0605,0.181,0.0284,0.0852,1.01,4.24
1.34,1.66,20.8,33.9,0.0745,0.192,0.0298,0.0873,1.19,4.47
1.79,2.16,14.0,19.5,0.0184,0.124,0.0208,0.0743,0.247,1.01
1.41,1.71,16.0,21.7,0.0255,0.111,0.029,0.108,0.187,1.33
1.22,1.71,11.7,19.1,0.0149,0.115,0.0239,0.0461,0.337,1.13
1.26,1.54,17.4,28.2,0.0344,0.109,0.0382,0.105,0.298,1.15
1.19,1.61,16.7,21.6,0.0188,0.123,0.0379,0.136,0.142,0.728
1.24,1.4,16.0,24.0,0.0453,0.108,0.0382,0.104,0.387,1.47
1.75,2.35,8.17,11.2,0.012,0.113,0.0196,0.0505,0.046,0.287
1.6,2.5,7.77,11.1,0.0162,0.0734,0.0167,0.0365,0.0378,0.377
1.92,2.51,7.25,10.5,0.0144,0.119,0.0149,0.0578,0.0603,0.355
1.99,2.76,7.42,11.1,0.0422,0.293,0.0147,0.0579,0.0662,0.336
1.08,1.56,19.1,29.8,0.0988,0.168,0.0445,0.152,0.719,2.34
1.28,3.49,20.5,38.5,0.093,0.159,0.0429,0.152,0.727,2.3
1.46,1.93,19.9,33.9,0.0581,0.161,0.0363,0.151,0.442,1.88
1.13,1.56,13.6,19.3,0.0103,0.106,0.0331,0.0588,0.116,1.09
1.34,1.64,7.61,14.1,0.0106,0.0667,0.0198,0.0513,0.245,0.971
1.37,1.97,30.9,49.8,0.0328,0.11,0.0378,0.122,1.37,3.9
1.7,1.88,14.2,22.1,0.0177,0.0973,0.0237,0.0509,0.19,1.07
1.18,1.51,27.8,38.9,0.0467,0.15,0.0412,0.106,1.12,4.07
1.37,1.97,30.9,49.8,0.0328,0.11,0.0378,0.122,1.37,3.9
1.37,1.97,30.9,49.8,0.0328,0.11,0.0378,0.122,1.37,3.9
1.77,1.94,20.9,27.8,0.0129,0.133,0.0267,0.0583,0.233,1.32
1.65,2.36,26.5,38.7,0.0182,0.159,0.0369,0.113,0.415,1.79
1.25,1.52,22.1,34.0,0.0248,0.107,0.0368,0.0884,0.674,2.33
1.37,1.97,30.9,49.8,0.0328,0.11,0.0378,0.122,1.37,3.9
1.47,1.9,23.1,31.9,0.0711,0.137,0.0391,0.117,0.54,1.95
1.37,1.97,30.9,49.8,0.0328,0.11,0.0378,0.122,1.37,3.9
1.75,2.23,8.92,11.4,0.0173,0.0813,0.019,0.037,0.262,1.42
1.37,1.97,30.9,49.8,0.0328,0.11,0.0378,0.122,1.37,3.9
1.37,1.97,30.9,49.8,0.0328,0.11,0.0378,0.122,1.37,3.9
1.37,1.97,30.9,49.8,0.0328,0.11,0.0378,0.122,1.37,3.9
1.42,1.77,28.5,38.6,0.0146,0.161,0.0494,0.136,0.148,0.972
1.37,1.97,30.9,49.8,0.0328,0.11,0.0378,0.122,1.37,3.9
1.73,2.1,9.37,14.4,0.0354,0.0976,0.0215,0.0926,0.201,1.35
1.37,1.97,30.9,49.8,0.0328,0.11,0.0378,0.122,1.37,3.9
1.45,1.7,19.1,26.0,0.0186,0.108,0.0317,0.088,0.118,1.19
1.56,1.78,26.0,40.8,0.0448,0.167,0.0288,0.0691,0.81,4.06
1.76,2.68,15.0,22.2,0.0603,0.255,0.0329,0.254,0.322,2.14
1.1,1.63,7.35,13.4,0.0171,0.0822,0.0269,0.0879,0.141,0.967
1.57,2.03,20.5,34.1,0.0562,0.139,0.0419,0.142,0.401,1.88
1.54,1.97,11.3,15.8,0.0102,0.0889,0.0267,0.0712,0.0726,0.564
1.25,1.58,23.7,35.8,0.0574,0.148,0.0361,0.0944,1.11,4.31
1.29,1.62,14.5,21.4,0.0158,0.116,0.0304,0.0804,0.096,1.48
2.01,2.46,14.4,17.4,0.0124,0.0865,0.0188,0.0452,0.0901,0.889
1.72,2.03,12.3,16.5,0.0136,0.102,0.0266,0.0619,0.122,1.01
1.74,2.64,4.91,10.5,0.0287,0.0906,0.0128,0.0489,0.257,1.5
1.07,1.41,17.5,26.5,0.0128,0.111,0.0386,0.0791,0.314,1.97
1.34,1.68,9.47,11.5,0.00825,0.0853,0.0228,0.0434,0.101,1.2
1.3,2.02,12.4,26.7,0.0212,0.0802,0.0293,0.0724,0.192,1.68
1.37,1.97,30.9,49.8,0.0328,0.11,0.0378,0.122,1.37,3.9
1.16,1.55,15.5,22.2,0.0298,0.125,0.0296,0.0962,0.533,1.49
1.14,1.63,17.4,31.4,0.0739,0.193,0.0412,0.171,0.529,2.12
1.66,2.32,17.4,24.8,0.0294,0.108,0.028,0.098,0.207,1.28
1.67,1.98,26.2,37.9,0.0396,0.154,0.0323,0.0925,0.768,4.07
1.35,1.71,15.4,22.1,0.0278,0.106,0.0303,0.114,0.204,1.32
1.5,2.39,19.4,32.4,0.0654,0.163,0.0366,0.127,0.458,1.87
1.89,2.42,27.1,53.0,0.017,0.0796,0.0321,0.224,0.304,2.8
1.61,1.78,24.9,34.9,0.0131,0.122,0.031,0.0617,0.136,1.4
1.37,1.97,30.9,49.8,0.0328,0.11,0.0378,0.122,1.37,3.9
1.58,2.17,11.1,15.9,0.0191,0.155,0.0258,0.101,0.312,1.4
1.19,1.6,16.7,23.7,0.0228,0.129,0.034,0.0734,0.0947,0.757
1.31,1.71,14.7,21.8,0.0337,0.11,0.0306,0.128,0.248,1.35
1.24,1.4,16.0,24.0,0.0453,0.108,0.0382,0.104,0.387,1.47
1.73,2.08,12.9,21.3,0.0159,0.0786,0.0237,0.0571,0.115,1.37
1.37,1.97,30.9,49.8,0.0328,0.11,0.0378,0.122,1.37,3.9
0.985,1.12,11.3,14.1,0.00846,0.0912,0.0319,0.0659,0.105,1.36
1.38,1.84,21.7,31.0,0.0789,0.14,0.0402,0.126,0.586,2.04
1.75,2.51,15.2,27.4,0.0315,0.0941,0.0241,0.0476,0.278,2.02
1.68,2.14,14.3,19.4,0.037,0.102,0.0198,0.0813,0.239,1.62
1.46,1.6,9.64,15.8,0.00839,0.0781,0.0216,0.0461,0.147,0.645
1.49,2.1,21.0,36.7,0.0466,0.172,0.0372,0.456,0.782,4.51
1.26,1.65,16.6,29.8,0.0529,0.102,0.0388,0.103,0.45,2.42
1.52,1.93,8.72,11.3,0.00838,0.0828,0.0236,0.0756,0.174,1.42
1.34,1.58,7.77,14.1,0.00874,0.0649,0.0189,0.0477,0.228,0.912
1.35,1.73,20.1,25.9,0.029,0.107,0.0325,0.0653,0.267,1.16
1.22,1.66,15.1,20.2,0.0311,0.113,0.0306,0.0787,0.332,1.62
1.24,1.4,16.0,24.0,0.0453,0.108,0.0382,0.104,0.387,1.47
1.39,2.46,22.0,45.7,0.0766,0.172,0.0323,0.0927,1.14,4.42
1.37,1.97,30.9,49.8,0.0328,0.11,0.0378,0.122,1.37,3.9
1.29,1.52,8.44,12.1,0.0119,0.0827,0.0215,0.0537,0.357,1.39
1.7,2.84,8.84,15.6,0.0257,0.0656,0.019,0.0481,0.387,1.47
1.61,1.84,22.9,35.0,0.0601,0.181,0.0272,0.0755,1.01,4.25
1.72,2.25,14.7,23.5,0.0233,0.101,0.0236,0.0797,0.261,2.55
1.21,1.81,18.2,34.2,0.0792,0.186,0.0433,0.15,0.513,2.07
1.38,1.98,15.4,22.1,0.031,0.108,0.0301,0.114,0.207,1.33
1.26,1.64,16.3,24.0,0.0479,0.108,0.0378,0.102,0.401,1.47
1.3,1.86,21.0,31.2,0.0282,0.114,0.0337,0.0665,0.257,1.5
1.16,1.74,7.5,12.0,0.037,0.126,0.0255,0.199,0.34,1.42
1.78,2.8,15.7,31.6,0.0911,0.319,0.0301,0.115,0.302,3.39
1.17,1.51,16.3,23.1,0.0181,0.0979,0.0276,0.0685,0.499,1.78
1.53,1.74,17.5,23.6,0.0176,0.0978,0.0249,0.0683,0.45,1.64
1.22,1.57,19.4,33.5,0.0321,0.131,0.0408,0.148,0.32,1.76
1.7,2.1,14.0,19.5,0.0188,0.133,0.023,0.0721,0.255,1.04
1.31,1.63,16.8,23.3,0.0241,0.126,0.0277,0.0716,0.453,1.41
1.06,1.67,6.16,12.0,0.00998,0.079,0.0257,0.0703,0.0691,0.963
1.52,1.78,16.2,22.4,0.0285,0.106,0.0279,0.114,0.187,1.26
1.22,1.73,8.76,13.0,0.0106,0.0858,0.0225,0.0492,0.285,1.61
1.98,3.38,17.2,37.4,0.0794,0.136,0.0255,0.0712,0.409,3.04
1.37,1.97,30.9,49.8,0.0328,0.11,0.0378,0.122,1.37,3.9
1.35,2.61,18.6,38.8,0.063,0.149,0.0414,0.489,1.02,4.6
1.6,1.72,17.6,23.8,0.0122,0.109,0.0315,0.0693,0.0817,0.813
1.37,1.97,30.9,49.8,0.0328,0.11,0.0378,0.122,1.37,3.9
1.22,1.75,17.1,24.1,0.0173,0.109,0.0287,0.0602,0.354,1.65
1.62,1.91,10.2,13.2,0.00831,0.0885,0.022,0.0475,0.0773,0.887
1.52,1.78,8.0,14.3,0.0098,0.0665,0.0195,0.0406,0.226,0.915
1.6,1.83,23.9,30.5,0.0134,0.116,0.0308,0.0561,0.178,1.61
1.07,1.67,6.21,11.9,0.0146,0.0791,0.0258,0.0736,0.0445,0.533
1.53,1.85,10.1,13.3,0.0106,0.0882,0.0233,0.0459,0.078,0.889
1.6,2.06,9.68,21.4,0.0217,0.096,0.0253,0.195,0.119,1.11
1.35,2.33,22.4,34.7,0.0369,0.128,0.0471,0.352,0.2,1.57
1.29,1.68,15.7,21.8,0.0274,0.11,0.0314,0.1,0.187,1.28
1.34,1.66,20.8,33.9,0.0745,0.192,0.0298,0.0873,1.19,4.47
1.37,1.97,30.9,49.8,0.0328,0.11,0.0378,0.122,1.37,3.9
1.67,2.13,13.8,20.1,0.0337,0.147,0.0219,0.0752,0.299,1.08
1.29,2.29,16.8,29.0,0.0627,0.221,0.0332,0.102,0.518,1.82
1.33,1.61,13.6,19.6,0.039,0.122,0.0277,0.0669,0.226,0.869
2.06,2.32,16.2,23.3,0.0163,0.104,0.0208,0.0441,0.143,0.944
1.41,2.88,15.5,30.4,0.0391,0.11,0.0383,0.233,0.318,2.05
1.14,1.63,17.4,31.4,0.0739,0.193,0.0412,0.171,0.529,2.12
1.63,2.07,16.9,27.6,0.0161,0.111,0.0269,0.0567,0.132,1.33
1.85,2.29,7.87,12.8,0.00781,0.0816,0.0213,0.0689,0.0542,0.489
1.67,1.86,11.3,18.0,0.0262,0.0814,0.0235,0.0514,0.118,1.54
1.1,1.5,15.0,19.4,0.00987,0.116,0.0316,0.0751,0.273,1.26
1.42,1.68,17.2,24.9,0.00924,0.107,0.0286,0.0568,0.067,0.343
1.2,1.66,21.4,31.6,0.0247,0.12,0.0383,0.0821,0.28,1.63
1.1,1.36,11.8,18.6,0.0111,0.117,0.0358,0.109,0.0678,0.91
1.23,1.74,8.13,13.4,0.0137,0.0794,0.024,0.0556,0.104,0.964
1.35,1.72,9.3,14.4,0.0134,0.104,0.0258,0.0644,0.0681,0.886
1.67,2.11,18.0,23.5,0.0131,0.13,0.0249,0.0584,0.181,0.989
1.66,2.05,16.4,22.1,0.0191,0.0794,0.0224,0.0605,0.188,1.58
1.36,1.69,16.7,23.3,0.0266,0.112,0.0292,0.0789,0.167,1.23
1.32,1.66,18.1,32.0,0.0181,0.114,0.0342,0.0947,0.111,1.18
1.25,1.55,16.1,24.0,0.0461,0.112,0.0381,0.105,0.411,1.47
1.44,3.53,11.0,22.0,0.0166,0.0669,0.0285,0.0823,0.175,1.41
